TotalFile:87245	PakTime:2011-12-8 10:57:19	PakTimeSave:4ee0278f	CRC:66097dc7
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
27731	5621bf20	2010-5-19 9:55:47	\maps\特殊用地\qichengdazhan\xiangyangzhanchang\v_109\123_region_s.dat	2100	139	4	70353f4c
27732	56234cd9	2010-5-19 9:54:35	\maps\特殊用地\qichengdazhan\xiangyangzhanchang\v_096\098_region_s.dat	2100	67	4	50ef42d0
27733	5625baf8	2006-12-9 20:2:57	\maps\江南区\龙泉\v_100\108_region_s.dat	2234	90	4	66c0a3eb
27734	5628cb62	2006-12-9 20:3:59	\maps\西南南区\翠烟门\禁地迷宫\v_095\109_region_s.dat	2234	172	4	ac75c590
27735	562b15e6	2006-12-9 20:2:49	\maps\东北区\长白山\长白山北麓\v_097\109_region_s.dat	2100	71	4	e9022d32
27736	562ca045	2006-12-9 20:3:46	\maps\西北南区\永乐镇\v_103\090_region_s.dat	2100	175	4	f2f0f209
27737	562d09c5	2006-12-9 20:2:57	\maps\江南区\临安\临安\v_101\116_region_s.dat	2295	155	4	dea26ae5
27738	562e631b	2006-12-9 20:4:39	\maps\中原南区\襄阳\襄阳\v_099\112_region_s.dat	2234	111	4	dbb9eb5a
27739	562e731a	2006-12-9 20:3:6	\maps\两湖区\武陵山\武陵\v_089\098_region_s.dat	2222	224	4	f16eb7cc
27740	563052ea	2006-12-9 20:2:57	\maps\江南区\临安\临安\v_093\109_region_s.dat	2356	212	4	40f06dd3
27741	56310722	2006-12-9 20:3:28	\maps\西北北区\黄河源头\留仙洞六层\v_099\098_region_s.dat	2173	182	4	4a5b0702
27742	5631e7bb	2006-12-9 20:4:2	\maps\西南南区\点苍山\点苍山\v_091\114_region_s.dat	2173	166	4	3c3eb6ab
27743	56323301	2006-12-9 20:3:27	\maps\特殊用地\山谷战场\v_095\096_region_s.dat	2100	171	4	3e46f7a
27744	56328060	2006-12-9 20:2:49	\maps\东北区\长白山\长白山北麓\v_112\122_region_s.dat	2234	159	4	d16ed518
27745	563333e1	2006-12-9 20:4:33	\maps\中原南区\伏牛山\伏牛山东\v_112\106_region_s.dat	2100	90	4	7f510b9e
27746	56338b1d	2006-12-9 20:4:2	\maps\西南南区\点苍山\点苍山\v_083\072_region_s.dat	2356	258	4	7c0a743b
27747	5633ae16	2006-12-9 20:3:47	\maps\西南北区\长江源头\长江源头\v_172\152_region_s.dat	2100	183	4	aba63a06
27748	56341637	2006-12-9 20:3:46	\maps\西北南区\永乐镇\v_103\098_region_s.dat	2356	225	4	97212fb6
27749	5634aa14	2011-6-1 10:38:29	\maps\特殊用地\yuegemigu\v_118\106_region_s.dat	2100	183	4	7a4ab685
27750	5636368b	2006-12-9 20:3:49	\maps\西南北区\芙蓉洞迷宫\v_098\100_region_s.dat	2295	189	4	4ca6b404
27751	56364d8c	2006-12-9 20:4:32	\maps\中原南区\伏牛山\伏牛山东\v_093\112_region_s.dat	2416	237	4	4a8a6e5e
27752	563691ae	2006-12-9 20:3:44	\maps\西北南区\秦陵\秦陵\v_078\153_region_s.dat	2100	141	4	58979b13
27753	5636ade7	2006-12-9 20:2:56	\maps\东北区\长白山\长白山南\v_085\098_region_s.dat	2100	156	4	8778c301
27754	56379e34	2006-12-9 20:3:8	\maps\特殊用地\梦境\v_096\101_region_s.dat	2173	102	4	f841be03
27755	563a13b8	2006-12-9 20:2:59	\maps\两湖区\神农架\神农架\v_114\115_region_s.dat	2173	185	4	52fd550c
27756	563b4a47	2006-12-9 20:4:27	\maps\中原北区\少林派\少林派\v_098\095_region_s.dat	2173	187	4	c87a433d
27757	563c7d05	2006-12-9 20:4:37	\maps\中原南区\蜀冈山\蜀冈山\v_094\131_region_s.dat	2100	45	4	ef969b7a
27758	563c8acf	2006-12-9 20:3:6	\maps\两湖区\天王帮\天王帮\v_100\092_region_s.dat	2356	315	4	c00cae08
27759	563d1033	2006-12-9 20:3:28	\maps\西北北区\黄河源头\留仙洞一层\v_098\108_region_s.dat	2173	151	4	c1ccb17c
27760	563d3082	2006-12-9 20:4:23	\maps\中原北区\少林派\少林密室\v_097\104_region_s.dat	2173	131	4	b9018c75
27761	563de20e	2006-12-9 20:2:58	\maps\两湖区\神农架\蚩尤洞迷宫\v_097\118_region_s.dat	2100	62	4	48f498b3
27762	563de825	2010-6-13 10:18:49	\maps\特殊用地\qichengdazhan\dalizhanchang\v_104\116_region_s.dat	2100	257	4	4b5370b7
27763	563e082e	2010-12-27 17:20:33	\maps\特殊用地\jianzhong\v_104\107_region_s.dat	2100	70	4	50e32ead
27764	563f09b5	2006-12-9 20:2:57	\maps\江南区\临安\御花园\v_102\101_region_s.dat	2100	82	4	e97cc268
27765	563f8095	2006-12-9 20:3:29	\maps\西北北区\昆仑派\快活林迷宫\v_104\096_region_s.dat	2100	29	4	784921ad
27766	563fd989	2008-9-28 0:32:54	\maps\特殊用地\荒漠战场\104_125\planehorbelowver_obstacle.ini	766	369	4	c321b522
27767	5640940d	2006-12-9 20:3:8	\maps\特殊用地\联赛比赛用地\v_108\092_region_s.dat	2100	264	4	97846242
27768	5640c70b	2006-12-9 20:2:57	\maps\江南区\五毒教\五毒\v_072\069_region_s.dat	2100	166	4	6729cd90
27769	5640d948	2006-12-9 20:2:56	\maps\东北区\漠北草原\v_085\099_region_s.dat	2173	199	4	9f3a3a05
27770	5641f3a1	2006-12-9 20:3:26	\maps\特殊用地\任务用地\信使任务\风之骑\v_096\091_region_s.dat	2100	148	4	b41b87a0
27771	5642b0fe	2011-6-1 10:38:55	\maps\特殊用地\yuegemigu\v_134\104_region_s.dat	2100	73	4	c979a07
27772	5642df5e	2006-12-9 20:2:56	\maps\东北区\长白山\长白山北麓\v_120\125_region_s.dat	2100	33	4	9225881
27773	564352b3	2006-12-9 20:3:49	\maps\西南北区\芙蓉洞迷宫\v_083\091_region_s.dat	2173	235	4	69d84a57
27774	5643ab71	2011-6-1 10:38:54	\maps\特殊用地\yuegemigu\v_133\149_region_s.dat	2100	86	4	e925137
27775	564466a1	2006-12-9 20:4:2	\maps\西南南区\点苍山\点苍山\v_097\097_region_s.dat	2295	209	4	35dc7912
27776	564511e9	2006-12-9 20:3:52	\maps\西南北区\青城山\白云洞迷宫\v_095\112_region_s.dat	2478	299	4	368b660d
27777	564542e5	2006-12-9 20:3:36	\maps\西北北区\沙漠迷宫\沙漠山洞3\v_107\104_region_s.dat	2295	224	4	369fbb0e
27778	5645d3db	2008-8-21 15:25:22	\maps\特殊用地\箭塔战场\v_111\122_region_s.dat	2100	55	4	b58cb155
27779	5645de63	2006-12-9 20:2:56	\maps\东北区\临渝关\v_108\123_region_s.dat	2100	32	4	34b8e146
27780	56461e14	2006-12-9 20:3:7	\maps\特殊用地\长歌门禁地\v_102\106_region_s.dat	2100	43	4	66ef2d31
27781	56466a89	2011-6-1 10:38:44	\maps\特殊用地\yuegemigu\v_127\109_region_s.dat	2100	86	4	e925137
27782	564798f5	2006-12-9 20:4:19	\maps\西南南区\天龙寺\天龙寺\v_093\089_region_s.dat	2100	58	4	b3db71da
27783	5647ede9	2010-11-10 15:25:58	\maps\特殊用地\tianchimijing1\trap-发技能的木桩\00000.ini	86	81	4	5bd9acf3
27784	56487a06	2007-5-17 2:40:23	\maps\特殊用地\武林第一帮\v_100\111_region_s.dat	2100	27	4	a088f569
27785	56489a2f	2006-12-9 20:3:36	\maps\西北北区\沙漠迷宫\沙漠山洞2\v_099\098_region_s.dat	2356	273	4	5025473f
27786	5648b858	2006-12-9 20:3:46	\maps\西北南区\永乐镇\v_108\090_region_s.dat	2234	263	4	a2368479
27787	5649b107	2006-12-9 20:3:46	\maps\西北南区\永乐镇\v_099\091_region_s.dat	2295	113	4	af3d84
27788	5649fe93	2006-12-9 20:3:27	\maps\特殊用地\卫国战争\烽火连城新地图\v_090\107_region_s.dat	2100	199	4	4e03645e
27789	564d23f7	2006-12-9 20:3:27	\maps\特殊用地\卫国战争\烽火连城报名点\v_098\100_region_s.dat	2100	179	4	a5706c49
27790	564e6aea	2010-5-19 9:54:34	\maps\特殊用地\qichengdazhan\xiangyangzhanchang\v_096\094_region_s.dat	2100	30	4	b8e8c425
27791	564f86de	2006-12-9 20:4:28	\maps\中原北区\天忍教\七杀洞迷宫\v_102\096_region_s.dat	2100	110	4	41dca11b
27792	565004dd	2007-5-17 2:40:23	\maps\特殊用地\武林第一帮\v_095\108_region_s.dat	2100	65	4	cd42b341
27793	5651d356	2006-12-9 20:2:56	\maps\东北区\长白山\长白山南\v_080\095_region_s.dat	2100	63	4	87c443c8
27794	5651d677	2006-12-9 20:2:58	\maps\江南区\西山屿\v_086\076_region_s.dat	2173	170	4	60e50bb9
27795	565271c0	2006-12-9 20:2:56	\maps\东北区\长白山\长白山脚\v_079\090_region_s.dat	2173	74	4	e3d4fb96
27796	56529253	2010-5-19 9:23:22	\maps\特殊用地\qichengdazhan\chengduzhanchang\v_104\116_region_s.dat	2100	116	4	f61188a0
27797	5654bf95	2006-12-9 20:3:44	\maps\西北南区\秦陵\秦始皇陵地下一层\v_107\101_region_s.dat	2234	140	4	fb42bd5f
27798	5655bdae	2006-12-9 20:3:35	\maps\西北北区\莫高窟\v_099\095_region_s.dat	2295	115	4	c8734ed0
27799	5655ef8e	2006-12-9 20:3:6	\maps\两湖区\武陵山\武陵\v_087\084_region_s.dat	2100	145	4	159c0a65
27800	56565323	2006-12-9 20:3:52	\maps\西南北区\江津村\v_197\237_region_s.dat	2100	70	4	18b0e09e
27801	5656b73f	2006-12-9 20:3:6	\maps\两湖区\天王帮\天王帮\v_107\091_region_s.dat	2100	227	4	2c618bb7
27802	5657a7f1	2006-12-9 20:4:4	\maps\西南南区\石鼓镇\v_091\089_region_s.dat	2356	185	4	6211748d
27803	56584228	2006-12-9 20:3:8	\maps\特殊用地\春节地图\v_090\087_region_s.dat	2100	268	4	6a331fc7
27804	5659c46a	2006-12-9 20:3:27	\maps\特殊用地\山谷战场\v_092\077_region_s.dat	2100	125	4	d516bdc2
27805	565a6247	2006-12-9 20:4:28	\maps\中原北区\宋金战场\v_134\055_region_s.dat	2100	162	4	894d999e
27806	565b04d0	2010-6-13 10:19:21	\maps\特殊用地\qichengdazhan\dalizhanchang\v_110\104_region_s.dat	2100	143	4	1b5c8af1
27807	565b6c6d	2006-12-9 20:2:57	\maps\江南区\罗霄山\罗霄山\v_088\124_region_s.dat	2234	188	4	508c1b39
27808	565c6b73	2006-12-9 20:4:32	\maps\中原南区\伏牛山\伏牛山东\v_102\126_region_s.dat	2173	197	4	87e1f0de
27809	565cfb2b	2006-12-7 8:13:7	\maps\特殊用地\剑门关ib\v_109\109_region_s.dat	2100	110	4	b6ae49c3
27810	565ead7c	2006-12-9 20:3:55	\maps\西南北区\唐门\唐门\v_155\247_region_s.dat	2100	224	4	53fc481c
27811	565fdbdf	2006-12-9 20:4:32	\maps\中原南区\伏牛山\伏牛山东\v_092\113_region_s.dat	2100	217	4	cb5bf8ff
27812	56606e39	2006-12-9 20:3:55	\maps\西南北区\唐门\唐门\v_158\241_region_s.dat	2100	145	4	d397034a
27813	5660cbe3	2006-12-9 20:2:56	\maps\东北区\长白山\长白山南\v_081\085_region_s.dat	2100	115	4	9e94983c
27814	5660dba2	2006-12-9 20:2:56	\maps\东北区\长白山\长白山脚\v_087\083_region_s.dat	2295	131	4	b4f4f7ee
27815	5661a12a	2011-6-1 10:38:39	\maps\特殊用地\yuegemigu\v_124\112_region_s.dat	2100	78	4	8383b55f
27816	5661dd4a	2006-12-9 20:3:7	\maps\特殊用地\帮会专用\汴京\v_097\103_region_s.dat	2100	196	4	aa4b94e8
27817	5662972b	2011-6-27 18:5:3	\maps\特殊用地\yandibaozangzhunbeiditu\v_105\120_region_s.dat	2100	123	4	5a1eef3a
27818	5662ffe4	2006-12-9 20:2:56	\maps\东北区\长白山\长白山北麓\v_121\111_region_s.dat	2100	56	4	477e571e
27819	56634b24	2006-12-9 20:2:56	\maps\东北区\长白山\长白山脚\v_091\092_region_s.dat	2234	86	4	9fa4c6c6
27820	566362c2	2006-12-9 20:4:28	\maps\中原北区\宋金战场\v_129\087_region_s.dat	2524	244	4	3fda054e
27821	566385fc	2006-12-9 20:3:29	\maps\西北北区\昆仑派\昆仑派\v_104\110_region_s.dat	2100	33	4	80213cf5
27822	5663becc	2006-12-9 20:3:44	\maps\西北南区\剑阁西北\锁云洞迷宫\v_108\089_region_s.dat	2234	246	4	8dbeba33
27823	5663edc2	2006-12-9 20:4:42	\maps\中原南区\襄阳\襄阳城衙门秘道\v_100\102_region_s.dat	2295	230	4	18223cb7
27824	566472e5	2006-12-9 20:2:56	\maps\东北区\长白山\长白山南\v_098\096_region_s.dat	2356	120	4	918f6396
27825	5665414d	2006-12-9 20:4:37	\maps\中原南区\蜀冈山\蜀冈山\v_098\122_region_s.dat	2100	122	4	cff18724
27826	56673cf3	2006-12-9 20:3:38	\maps\西北北区\药王谷\药王谷\v_112\151_region_s.dat	2173	213	4	5ab8814e
27827	56684911	2006-12-9 20:4:21	\maps\中原北区\汴京\汴京\v_102\094_region_s.dat	2295	207	4	fed7f58d
27828	5669a442	2006-12-9 20:4:20	\maps\中原北区\汴京\汴京\v_085\120_region_s.dat	2100	199	4	62d2e8e9
27829	566a251e	2011-8-19 10:42:16	\maps\特殊用地\yuegedao\v_095\098_region_s.dat	2100	148	4	45ceac26
27830	566a27f0	2006-12-9 20:3:38	\maps\西北南区\冰河洞迷宫\v_109\120_region_s.dat	2234	209	4	576c5fbe
27831	566ba9fb	2008-9-28 0:32:54	\maps\特殊用地\古城战场\v_121\102_region_s.dat	2100	90	4	571723c8
27832	566bc699	2006-12-9 20:2:56	\maps\江南区\临安\临安\v_089\103_region_s.dat	2234	109	4	971eb404
27833	566c1411	2006-12-9 20:3:27	\maps\特殊用地\卫国战争\烽火连城新地图\v_094\141_region_s.dat	2100	265	4	b1c6d2bf
27834	566c25cb	2006-12-9 20:3:49	\maps\西南北区\剑阁西南\v_118\214_region_s.dat	2100	69	4	e9c1f5dc
27835	566ce847	2006-12-9 20:3:49	\maps\西南北区\剑阁西南\v_118\199_region_s.dat	2234	118	4	a316b9e2
27836	566d38ba	2006-12-9 20:3:54	\maps\西南北区\青城山\响水洞迷宫\v_096\119_region_s.dat	2100	195	4	f4390ddc
27837	566d6c51	2006-12-9 20:3:47	\maps\西北南区\永乐镇\v_111\099_region_s.dat	2234	152	4	2cb868ba
27838	566ddf67	2006-12-9 20:3:53	\maps\西南北区\青城山\青城山\v_141\166_region_s.dat	2100	143	4	b943c551
27839	566ede3f	2006-12-9 20:3:53	\maps\西南北区\青城山\青城山\v_131\160_region_s.dat	2100	117	4	ea4f3ebf
27840	566fbb48	2006-12-9 20:4:41	\maps\中原南区\襄阳\襄阳\v_105\106_region_s.dat	2478	216	4	5b32528e
27841	567048e7	2006-12-9 20:3:6	\maps\两湖区\天王帮\天王帮\v_103\093_region_s.dat	2100	124	4	ef4c637
27842	56720b64	2006-12-9 20:4:21	\maps\中原北区\汴京\汴京\v_102\069_region_s.dat	2100	96	4	3c1526e1
27843	56724bae	2006-12-7 8:13:7	\maps\特殊用地\剑门关ib\v_113\121_region_s.dat	2100	60	4	2e4fcc8a
27844	5674bebe	2006-12-9 20:2:58	\maps\江南区\武夷山\玉华洞迷宫\v_110\101_region_s.dat	2234	219	4	fc38f80b
27845	5675b6a6	2006-12-9 20:3:27	\maps\特殊用地\山谷战场\v_088\095_region_s.dat	2100	128	4	a27d711
27846	5675d2f9	2006-12-9 20:3:39	\maps\西北南区\华山\华山\v_111\157_region_s.dat	2295	210	4	2622a424
27847	56763f7b	2006-12-9 20:4:19	\maps\西南南区\天龙寺\天龙寺\v_091\097_region_s.dat	2100	174	4	86843e46
27848	5676dfc6	2006-12-9 20:3:48	\maps\西南北区\成都\成都\v_161\208_region_s.dat	2356	233	4	97793e6e
27849	56773563	2006-12-9 20:4:4	\maps\西南南区\石鼓镇\v_098\101_region_s.dat	2173	166	4	296ca686
27850	56774a56	2006-12-9 20:4:21	\maps\中原北区\汴京\汴京\v_114\089_region_s.dat	2100	194	4	4f8228c9
27851	56793c63	2006-12-9 20:2:57	\maps\江南区\五毒教\五毒\v_086\099_region_s.dat	2100	210	4	c4567ef5
27852	567b5682	2006-12-9 20:3:6	\maps\两湖区\天王帮\天王帮\v_103\105_region_s.dat	2100	168	4	2672ec45
27853	567d5ac8	2006-12-9 20:4:23	\maps\中原北区\伏牛山\伏牛山西\v_096\130_region_s.dat	2295	239	4	55da60de
27854	567d93ad	2006-12-9 20:3:7	\maps\特殊用地\帮会专用\凤翔\v_097\098_region_s.dat	2100	194	4	2fb33ef9
27855	567da902	2006-12-9 20:2:58	\maps\江南区\西山屿\v_073\075_region_s.dat	2100	72	4	40d0f041
27856	567e1af5	2006-12-9 20:4:27	\maps\中原北区\少林派\少林派\v_096\087_region_s.dat	2173	210	4	25c120ec
27857	567ee2ac	2010-6-13 10:18:20	\maps\特殊用地\qichengdazhan\dalizhanchang\v_099\123_region_s.dat	2100	29	4	1c0083a4
27858	567ee670	2006-12-9 20:3:59	\maps\西南南区\大理\大理府\v_097\091_region_s.dat	2100	199	4	f5fa2442
27859	567f3912	2006-12-9 20:3:29	\maps\西北北区\昆仑派\昆仑派\v_101\094_region_s.dat	2100	246	4	29b9269b
27860	567f960b	2006-12-9 20:4:28	\maps\中原北区\宋金战场\v_121\098_region_s.dat	2100	172	4	9db14188
27861	567f9973	2006-12-9 20:4:20	\maps\中原北区\汴京\汴京\v_093\112_region_s.dat	2100	125	4	d8ef1b5b
27862	567ff06a	2010-11-22 9:15:53	\maps\特殊用地\tianchimijing1\v_108\101_region_s.dat	2100	186	4	e9db288d
27863	56804ed5	2006-12-9 20:3:48	\maps\西南北区\峨嵋派\峨嵋派\v_150\139_region_s.dat	2100	151	4	8b16e8e
27864	568079b3	2010-5-19 9:55:4	\maps\特殊用地\qichengdazhan\xiangyangzhanchang\v_102\099_region_s.dat	2100	200	4	4733bbc
27865	568201d7	2006-12-9 20:3:8	\maps\特殊用地\剑门关\v_100\101_region_s.dat	2100	201	4	b99574e2
27866	56824609	2010-5-19 10:1:49	\maps\特殊用地\qichengdazhan\bianjingzhanchang\v_115\124_region_s.dat	2100	181	4	b8f244c4
27867	56829fb0	2010-9-9 9:38:15	\maps\特殊用地\huanzhuangditu\v_098\103_region_s.dat	2100	148	4	6e332b6e
27868	5682f084	2006-12-9 20:3:6	\maps\两湖区\武陵山\伏流洞迷宫\v_093\108_region_s.dat	2100	66	4	5fc8f63
27869	56833778	2006-12-9 20:3:39	\maps\西北南区\华山\v_125\154_region_s.dat	2100	193	4	27e88d22
27870	56853558	2006-12-9 20:4:24	\maps\中原北区\少林派\少林密室\v_100\100_region_s.dat	2173	115	4	9fb027ab
27871	568ae1f3	2006-12-9 20:4:37	\maps\中原南区\蜀冈山\蜀冈山\v_080\118_region_s.dat	2100	90	4	82cd0189
27872	568ba043	2006-12-9 20:3:9	\maps\特殊用地\梦境\v_099\091_region_s.dat	2295	119	4	5eaeb614
27873	568bbf35	2006-12-9 20:2:57	\maps\江南区\罗霄山\罗霄山\v_096\112_region_s.dat	2356	205	4	f955e1dd
27874	568dd164	2008-9-28 0:32:55	\maps\特殊用地\荒漠战场\v_103\137_region_s.dat	2100	129	4	4d8c73a4
27875	568ddeb8	2008-8-21 15:25:22	\maps\特殊用地\箭塔战场\v_111\124_region_s.dat	2100	73	4	6d611716
27876	568dfdab	2006-12-9 20:3:39	\maps\西北南区\华山\v_111\148_region_s.dat	2173	204	4	cf1e5792
27877	568e9a04	2006-12-9 20:4:22	\maps\中原北区\飞天洞迷宫\v_112\109_region_s.dat	2100	122	4	3d8186e2
27878	568ea8da	2006-12-9 20:2:57	\maps\江南区\罗霄山\两水洞迷宫\v_103\108_region_s.dat	2100	153	4	3fc630d6
27879	568ed547	2006-12-9 20:3:8	\maps\特殊用地\梦境\v_093\093_region_s.dat	2295	125	4	e91425a2
27880	568f5b22	2010-5-19 9:55:59	\maps\特殊用地\qichengdazhan\xiangyangzhanchang\v_112\107_region_s.dat	2100	182	4	22dd5ec2
27881	5691a52f	2006-12-9 20:3:8	\maps\特殊用地\剑门关\v_097\098_region_s.dat	2100	48	4	89301876
27882	5692405c	2006-12-9 20:3:7	\maps\特殊用地\春节地图\v_083\087_region_s.dat	2100	122	4	9921e0b5
27883	569552b9	2006-12-9 20:4:31	\maps\中原北区\朱仙镇\v_107\115_region_s.dat	2173	259	4	d9be9c72
27884	5695bfe2	2010-5-19 9:23:34	\maps\特殊用地\qichengdazhan\chengduzhanchang\v_106\122_region_s.dat	2100	58	4	2754d220
27885	56960401	2006-12-9 20:3:35	\maps\西北北区\莫高窟\v_106\088_region_s.dat	2100	55	4	32576af2
27886	5696965e	2006-12-9 20:3:37	\maps\西北北区\药王谷\药王洞三层\v_101\098_region_s.dat	2234	201	4	68e1394
27887	569739d7	2006-12-9 20:4:33	\maps\中原南区\丐帮\地下迷宫二层\v_101\103_region_s.dat	2100	110	4	c18d0ee
27888	5697acc3	2006-12-9 20:4:24	\maps\中原北区\少林派\少林派\v_089\099_region_s.dat	2295	140	4	3b4a278e
27889	56984d14	2006-12-9 20:4:27	\maps\中原北区\少林派\一百零八罗汉阵\v_105\106_region_s.dat	2173	149	4	4593f08f
27890	569965ef	2006-12-9 20:3:47	\maps\西南北区\长江源头\长江源头\v_189\140_region_s.dat	2100	51	4	d5ddfc79
27891	56998772	2006-12-9 20:2:56	\maps\东北区\长白山\长白山脚\v_070\077_region_s.dat	2173	110	4	1a26188c
27892	569added	2006-12-9 20:4:21	\maps\中原北区\汴京\汴京\v_108\103_region_s.dat	2356	176	4	9756dcab
27893	569b0497	2011-11-9 15:4:35	\maps\特殊用地\tianxingu_gai\v_107\099_region_s.dat	2100	78	4	f0393564
27894	569cbae8	2006-12-9 20:3:6	\maps\两湖区\天王帮\天王帮\v_095\101_region_s.dat	2100	203	4	5b671285
27895	569cd91a	2006-12-9 20:4:33	\maps\中原南区\丐帮\地下迷宫一层\v_096\101_region_s.dat	2234	200	4	3263a897
27896	569d6a64	2006-12-9 20:3:6	\maps\两湖区\武陵山\武陵\v_091\119_region_s.dat	2478	256	4	42cb8475
27897	569d8484	2010-5-19 9:23:32	\maps\特殊用地\qichengdazhan\chengduzhanchang\v_106\110_region_s.dat	2100	175	4	82025d1f
27898	569e3e11	2006-12-9 20:4:4	\maps\西南南区\石鼓镇\v_098\093_region_s.dat	2173	144	4	7709d541
27899	569e5f57	2006-12-9 20:2:57	\maps\江南区\罗霄山\罗霄山\v_086\113_region_s.dat	2234	255	4	79d9c28c
27900	569ea67a	2006-12-9 20:4:32	\maps\中原南区\伏牛山\伏牛山东\v_105\121_region_s.dat	2100	235	4	30290677
27901	569ff9ee	2006-12-9 20:3:5	\maps\两湖区\桃花源\v_093\093_region_s.dat	2234	212	4	c3e3c253
27902	56a165be	2008-9-28 0:32:55	\maps\特殊用地\荒漠战场\v_108\115_region_s.dat	2100	42	4	1f754b49
27903	56a2041a	2006-12-9 20:2:56	\maps\江南区\临安\临安\v_082\099_region_s.dat	2173	119	4	af6d312a
27904	56a25251	2006-12-9 20:3:57	\maps\西南北区\唐门\竹丝洞二层.wor	329	245	4	c1a6dc9c
27905	56a33cff	2006-12-7 8:13:6	\maps\特殊用地\剑门关ib\v_107\110_region_s.dat	2100	135	4	aa6b3c28
27906	56a3eb42	2006-12-9 20:4:42	\maps\中原南区\扬州\v_096\115_region_s.dat	2100	63	4	3ece8c99
27907	56a4073d	2006-12-9 20:2:57	\maps\江南区\五毒教\五毒\v_085\087_region_s.dat	2100	171	4	5b2e1fbd
27908	56a40abd	2006-12-9 20:3:9	\maps\特殊用地\任务用地\同伴剧情任务\山贼洞\v_104\118_region_s.dat	2100	124	4	36360bc3
27909	56a4f2a7	2006-12-9 20:2:56	\maps\东北区\长白山\长白山南\v_081\074_region_s.dat	2295	110	4	d6075fbd
27910	56a57f9d	2006-12-9 20:3:38	\maps\西北南区\凤翔\v_097\091_region_s.dat	2234	190	4	752b135e
27911	56a69e6a	2006-12-9 20:4:32	\maps\中原南区\伏牛山\伏牛山东\v_104\126_region_s.dat	2295	201	4	20854bf9
27912	56a7d89b	2006-12-9 20:3:27	\maps\特殊用地\杀手的试炼.wor	113	98	4	9c41b486
27913	56a83ed3	2008-8-5 14:32:46	\maps\特殊用地\箭塔战场.wor	92	92	0	5afc8a90
27914	56a90906	2006-12-9 20:3:6	\maps\两湖区\桃花源\v_105\108_region_s.dat	2600	166	4	ea9f67ca
27915	56a97118	2006-12-9 20:4:34	\maps\中原南区\丐帮\丐帮\v_091\085_region_s.dat	2100	29	4	1a28343f
27916	56a9adc8	2006-12-9 20:4:2	\maps\西南南区\点苍山\点苍山\v_078\093_region_s.dat	2100	122	4	a0971f30
27917	56aa6e72	2006-12-9 20:3:26	\maps\特殊用地\任务用地\信使任务\山神庙\v_095\096_region_s.dat	2100	124	4	4add452d
27918	56aa7a07	2006-12-9 20:3:49	\maps\西南北区\剑阁西南\v_116\193_region_s.dat	2100	77	4	1ff2f5d8
27919	56ab9b66	2006-12-9 20:3:57	\maps\西南南区\翠烟门\翠烟\v_050\020_region_s.dat	2100	188	4	55480562
27920	56ac5e68	2006-12-9 20:3:8	\maps\特殊用地\春节地图\v_094\087_region_s.dat	2100	123	4	aa828177
27921	56ad2c69	2010-5-26 9:14:57	\maps\特殊用地\qichengdazhan\fengxiangzhanchang\v_106\101_region_s.dat	2100	99	4	4ab8a5f0
27922	56adeed8	2006-12-9 20:2:57	\maps\江南区\罗霄山\孽龙洞迷宫\v_110\114_region_s.dat	2234	176	4	568fa10b
27923	56ae6bda	2006-12-9 20:3:6	\maps\两湖区\天王帮\天王帮\v_108\095_region_s.dat	2100	24	4	5e1264b1
27924	56ae7f84	2006-12-9 20:4:28	\maps\中原北区\宋金战场\v_129\064_region_s.dat	2215	330	4	3d9dbf2b
27925	56af423a	2006-12-9 20:2:56	\maps\东北区\漠北草原\v_076\092_region_s.dat	369	95	4	66614797
27926	56b02c89	2011-6-27 18:7:38	\maps\特殊用地\yandibaozangzhunbeiditu\v_144\130_region_s.dat	2100	74	4	211ce709
27927	56b0ac48	2006-12-9 20:2:56	\maps\东北区\长白山\长白山脚\v_091\071_region_s.dat	2234	84	4	ef7f5406
27928	56b16220	2006-12-9 20:2:58	\maps\江南区\西山屿\v_092\078_region_s.dat	2100	205	4	9d554736
27929	56b3a66b	2006-12-9 20:2:58	\maps\两湖区\神农架\蚩尤洞迷宫\v_102\109_region_s.dat	2478	323	4	7702a09f
27930	56b41cbc	2006-12-9 20:4:2	\maps\西南南区\点苍山\点苍山洞二层\v_092\088_region_s.dat	2295	195	4	a7ed3004
27931	56b6f43f	2006-12-9 20:3:36	\maps\西北北区\沙漠迷宫\沙漠山洞2\v_104\116_region_s.dat	2417	212	4	9940f988
27932	56b75bc3	2006-12-9 20:3:48	\maps\西南北区\峨嵋派\峨嵋派\v_158\137_region_s.dat	2173	191	4	438cd8b4
27933	56b78aac	2006-12-9 20:4:28	\maps\中原北区\天忍教\七杀洞迷宫\v_098\095_region_s.dat	2727	369	4	57cc2983
27934	56b7f421	2011-6-27 18:5:4	\maps\特殊用地\yandibaozangzhunbeiditu\v_105\130_region_s.dat	2100	123	4	5a1eef3a
27935	56b84c33	2006-12-9 20:3:54	\maps\西南北区\青城山\响水洞迷宫\v_100\134_region_s.dat	2173	224	4	df2d1955
27936	56b91e55	2006-12-9 20:4:19	\maps\西南南区\天龙寺\天龙寺\v_091\086_region_s.dat	2100	107	4	9eda47bd
27937	56ba0a0a	2006-12-9 20:3:6	\maps\两湖区\武陵山\武陵\v_084\098_region_s.dat	2173	231	4	13f8ded1
